name,id,folderId
EMT_EMK_1602_DE_AAE_All_All_All_All_Welcome,2680,9393
EMT_EMK_1602_FR_AAE_All_All_All_All_Welcome,2681,9393
EMT_EMK_1602_ES_AAE_All_All_All_All_Welcome,2682,9393
EMT_EMK_1602_PT_AAE_All_All_All_All_Welcome,2683,9393
EMT_EMK_1602_IT_AAE_All_All_All_All_Welcome,2684,9393
EMT_EMK_1602_PL_AAE_All_All_All_All_Welcome,2685,9393
EMT_EMK_1602_NL_AAE_All_All_All_All_Welcome,2686,9393
EMT_EMK_1602_SE_AAE_All_All_All_All_Welcome,2687,9393
EMT_EMK_1602_TR_AAE_All_All_All_All_Welcome,2688,9393
EMT_EMK_1602_JP_AAE_All_All_All_All_Welcome,2689,9393
EMT_EMK_1602_CN_AAE_All_All_All_All_Welcome,2690,9393
EMT_EMK_1602_KR_AAE_All_All_All_All_Welcome,2691,9393
EMT_EMK_XXXX_All_All_LAB_All_All_All_NOAPP1_LAB_WebsiteVisitTrigger,2733,10576
EMT_EMK_XXXX_All_All_IND/PRO/PI_All_All_All_NOAPP1_IND/PRO/PI_WebsiteVisitTrigger,2734,10576
SYSTEM - Phone Number Remove Inactive Contacts,2736,13520
SYSTEM - Phone Number Remove Inactive Contacts,2736,13520
SYSTEM  - Email Address Validation (Confirmed),3115,14131
Build email address - Follow-up and finalize,3480,13291
SYSTEM - Click Tracking,3647,16225
SYSTEM - Click Tracking,3647,16225
EMT_EMK_1410_All_PAB_All_All_All_All_Welcome_Split_New,3709,6220
SYSTEM - Lead Scoring - Populating Custom Data Objects,3741,16454
SYSTEM - Lead Scoring - Populating Custom Data Objects,3741,16454
SYSTEM - Phone Number General Cleaning Phone1,3784,13520
EMT_EMK_XXXX_All_All_TLA_All_All_App1_New,3795,6456
SYSTEM - Character encoding for survey links,3796,16528
SYSTEM - Character encoding for survey links,3796,16528
SYSTEM - Phone Number General Cleaning Phone2,3834,13520
EMT_EMK_XXXX_All_All_All_All_All_All_Welcome3,3886,17113
NON_XXXX_All_All_All_All_All_All_Nurturing3,4068,17367
OTH_XXXX_All_All_IND_All_IND_App1_Split,4166,17518
EMT_EMK_XXXX_All_All_All_All_All_All_WebsiteVisitTrigger_New Split,4213,10576
EMT_EMK_1602_CA(FR)_AAE_All_All_All_All_Welcome,4234,9393
MPL_1707_US_AAE_All_All_All_All_Welcome,4235,9393
MPL_1707_CA(EN)_AAE_All_All_All_All_Welcome,4236,9393
MPL_1707_ROW_AAE_All_All_All_All_Welcome,4237,9393
MPL_1707_AP_AAE_All_All_All_All_Welcome,4238,9393
MPL_1707_AU/NZ_AAE_All_All_All_All_Welcome,4286,9393
EMT_EMK_1405_UK_MPE_All_All_All_All_Welcome,4292,6886
EMT_EMK_1405_IN_MPE_All_All_All_All_Welcome,4294,6886
EMT_EMK_1405_TR_MPE_All_All_All_All_Welcome,4295,6886
EMT_EMK_1405_PT(BR)_MPE_All_All_All_All_Welcome,4296,6886
MPL_1708_US_TLH_All_All_All_All_Welcome,4306,7993
MPL_1708_CA(EN)_TLH_All_All_All_All_Welcome,4307,7993
MPL_1708_ROW_TLH_All_All_All_All_Welcome,4308,7993
MPL_1708_AP_TLH_All_All_All_All_Welcome,4309,7993
MPL_1708_AU/NZ_TLH_All_All_All_All_Welcome,4310,7993
OTH_1709_All_All_All_All_All_All_topKAtmFollow-up,4361,17777
OTH_1709_All_All_All_All_All_All_topKAtmFollow-up,4361,17777
MPL_1709_US_TLH_All_ACH_All_LAB_AutoChemNurturing,4362,9414
MPL_1709_US_TLH_All_ANA_All_LAB_AnalyticsNurturing,4364,9414
MPL_1709_US_TLH_All_LWE_All_LAB_WeighingNurturing,4365,9414
MPL_1709_US_TLH_All_PIP_All_LAB_PipettingNurturing,4366,9414
MPL_1709_CA(EN)_TLH_All_ACH_All_LAB_AutoChemNurturing,4378,9415
MPL_1709_CA(EN)_TLH_All_LWE_All_LAB_WeighingNurturing,4379,9415
MPL_1709_CA(EN)_TLH_All_PIP_All_LAB_PipettingNurturing,4380,9415
MPL_1709_CA(EN)_TLH_All_ANA_All_LAB_AnalyticsNurturing,4381,9415
MPL_1709_ROW_TLH_All_ACH_All_LAB_AutoChemNurturing,4382,9416
MPL_1709_ROW_TLH_All_ANA_All_LAB_AnalyticsNurturing,4383,9416
MPL_1709_ROW_TLH_All_LWE_All_LAB_WeighingNurturing,4384,9416
MPL_1709_ROW_TLH_All_PIP_All_LAB_PipettingNurturing,4385,9416
MPL_1709_APw_TLH_All_ANA_All_LAB_AnalyticsNurturing,4386,9417
MPL_1709_APw_TLH_All_LWE_All_LAB_WeighingNurturing,4387,9417
MPL_1709_APw_TLH_All_PIP_All_LAB_PipettingNurturing,4388,9417
MPL_1709_APw_TLH_All_ACH_All_LAB_AutoChemNurturing,4389,9417
MPL_1709_APe_TLH_All_ANA_All_LAB_AnalyticsNurturing,4390,9417
MPL_1709_APe_TLH_All_ACH_All_LAB_AutoChemNurturing,4391,9417
MPL_1709_APe_TLH_All_LWE_All_LAB_WeighingNurturing,4393,9417
MPL_1709_APe_TLH_All_PIP_All_LAB_PipettingNurturing,4394,9417
MPL_1710_All_All_All_All_All_All_Welcome1,4505,12165
EMT_EMK_XXXX_All_All_TLA_All_All_All_TLAAPP1WebsiteVisitTrigger,4506,10576
EMT_EMK_1710_All_EME_All_All_All_All_Welcome1,4509,6627
EMT_EMK_1710_All_EME_All_All_All_All_Welcome2,4510,6627
MPL_1709_JP_TLH_All_ANA_All_LAB_AnalyticsNurturing,4511,9417
MPL_1708_JP_TLH_All_All_All_All_Welcome,4514,7993
EMT_EMK_1710_All_TRA_All_All_All_All_Welcome1,4524,7648
EMT_EMK_1710_All_TRA_All_All_All_All_Welcome2,4525,7648
