name,id,folderId,status
GDE/MPL_1710_FR_TRA_All_All_All_All_Welcome2,31506,18024,1
GDE/MPL_1710_IT_TRA_All_All_All_All_Welcome2,31507,18024,1
GDE/MPL_1710_CA(FR)_TRA_All_All_All_All_Welcome2,31512,18024,1
GDE/MPL_1710_NL_TRA_All_All_All_All_Welcome2,31513,18024,1
GDE/MPL_1710_KR_TRA_All_All_All_All_Welcome2,31514,18024,1
GDE/MPL_1710_JP_TRA_All_All_All_All_Welcome2,31519,18024,1
GDE/MPL_1710_PT_TRA_All_All_All_All_Welcome2,31521,18024,1
GDE/MPL_1710_PL_TRA_All_All_All_All_Welcome2,31523,18024,1
GDE/MPL_1710_CN_TRA_All_All_All_All_Welcome2,31527,18024,1
GDE/MPL_1710_DE_TRA_All_All_All_All_Welcome2,31528,18024,1
BRO_1710_FR_PWG_All_PRO_All_PRO_Welcome1,31529,18011,2
MPL_1710_US_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31530,13508,1
MPL_1710_CA(EN)_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31531,13508,1
MPL_1710_AP_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31532,13508,1
MPL_1710_ROW_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31533,13508,1
MPL_1710_IN_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31534,13508,1
MPL_1710_AU/NZ_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31535,13508,1
MPL_1710_FR_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31536,13508,1
MPL_1710_CA(FR)_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31537,13508,1
MPL_1710_ES_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31538,13508,1
MPL_1710_IT_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31540,13508,1
MPL_1710_PT_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31545,13508,1
MPL_1710_NL_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31547,13508,1
MPL_1710_PL_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31550,13508,1
MPL_1710_CN_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31553,13508,1
MPL_1710_JP_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31555,13508,1
MPL_1710_KR_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31558,13508,1
MPL_1710_DE_All_IND/PRO/PI_All_All_All_WebsiteTriggerIND/PRO/PI,31559,13508,1
BRO_1710_DE_PWG_All_PRO_All_PRO_Welcome1,31560,18011,2
BRO_1710_IT_PWG_All_PRO_All_PRO_Welcome1,31561,18011,2
BRO_1710_PL_PWG_All_PRO_All_PRO_Welcome1,31562,18011,2
BRO_1710_RU_PWG_All_PRO_All_PRO_Welcome1,31563,18011,2
MPL_1710_DE_All_All_All_All_All_WebsiteTriggerNoWkps,31564,13519,1
MPL_1710_PL_All_All_All_All_All_WebsiteTriggerNoWkps,31565,13519,1
MPL_1710_CN_All_All_All_All_All_WebsiteTriggerNoWkps,31566,13519,1
MPL_1710_US_All_All_All_All_All_WebsiteTriggerNoWkps,31567,13519,1
MPL_1710_FR_All_All_All_All_All_WebsiteTriggerNoWkps,31568,13519,1
MPL_1710_PT_All_All_All_All_All_WebsiteTriggerNoWkps,31569,13519,1
MPL_1710_ES_All_All_All_All_All_WebsiteTriggerNoWkps,31570,13519,1
MPL_1710_IT_All_All_All_All_All_WebsiteTriggerNoWkps,31571,13519,1
MPL_1710_JP_All_All_All_All_All_WebsiteTriggerNoWkps,31572,13519,1
MPL_1710_NL_All_All_All_All_All_WebsiteTriggerNoWkps,31573,13519,1
MPL_1710_KR_All_All_All_All_All_WebsiteTriggerNoWkps,31574,13519,1
MPL_1710_CA(EN)_All_All_All_All_All_WebsiteTriggerNoWkps,31575,13519,1
MPL_1710_AP_All_All_All_All_All_WebsiteTriggerNoWkps,31576,13519,1
MPL_1710_ROW_All_All_All_All_All_WebsiteTriggerNoWkps,31577,13519,1
MPL_1710_IN_All_All_All_All_All_WebsiteTriggerNoWkps,31578,13519,1
MPL_1710_AU/NZ_All_All_All_All_All_WebsiteTriggerNoWkps,31579,13519,1
BRO_1710_SI_PWG_All_PRO_All_PRO_Welcome1,31581,18011,2
BRO_1710_PT_PWG_All_PRO_All_PRO_Welcome1,31582,18011,2
BRO_1710_ES_PWG_All_PRO_All_PRO_Welcome1,31583,18011,2
MPL_1710_CA(FR)_All_All_All_All_All_WebsiteTriggerNoWkps,31584,13519,1
BRO_1710_TR_PWG_All_PRO_All_PRO_Welcome1,31585,18011,2
